iter	Passed	Remaining
0	11498	11487253
1	21568	1076283322	29826	991227733	38461	957690644	46650	928343755	55393	917681866	63622	902532877	72269	896144188	81058	892539299	89685	8878848110	98430	8849760111	107030	8812200112	115906	8799961113	124265	8751818114	132923	8728671115	141775	8719179116	150549	8705299117	159380	8695083118	167972	8672694119	176790	8662741220	185255	8636421221	194217	8633848222	202945	8620773223	211796	8613074224	220735	8608690225	229466	8596167226	238351	8589487227	246908	8571240228	255927	8569144229	264393	8548729330	273195	8539548331	281942	8528754332	290541	8513759333	299406	8506663334	308099	8494746335	316955	8487364336	325382	8468749337	334026	8456146338	342728	8445186339	351343	8432245440	360089	8422572441	368751	8411035442	377561	8402941443	385880	8384129444	394721	8376865445	403295	8364008446	411986	8353675447	420564	8341200448	429285	8331650449	437642	8315207550	446188	8302596551	455257	8299689552	463325	8278662553	472071	8269992554	481020	8264806555	489716	8255224556	498402	8245496557	507049	8235186558	515961	8229151559	524389	8215437660	533221	8208116661	542116	8201701662	550871	8193116663	559612	8184330664	568294	8174697665	577155	8167628666	585691	8155972667	594315	8145612668	603023	8136444669	611761	8127693770	620494	8118861771	629198	8109672772	638045	8102299773	646563	8090776774	655632	8086129775	663969	8072475776	672798	8064846777	681741	8058533778	690362	8048402779	698986	8038339880	707580	8027983881	716225	8018233882	724217	8001297883	732728	7990226884	741607	7983191885	750199	7973049886	758969	7964816887	767394	7953000888	776151	7944652889	784492	7932095990	793258	7923868991	802108	7916459992	810719	7906695993	819489	7898479994	828203	7889732995	836986	7881626996	845383	7869910997	854280	7862867998	863097	7855058999	871809	78462881100	880737	78394351101	889492	78310231102	898179	78220131103	906785	78123011104	915745	78056371105	924204	77947091106	932807	77850221107	941618	77770721108	950372	77686401109	959145	77603611110	967765	77508421111	976780	77444761112	985168	77331341113	993993	77252441114	1002619	77158011115	1011335	77070711116	1020068	76984611117	1028729	76893111118	1037664	76822011119	1046086	76713012120	1054991	76639412121	1063392	76529412122	1072148	76445012123	1081052	76371012124	1089971	76297912125	1098735	76213812126	1107021	76096812127	1115978	76026012128	1124488	75924712129	1133393	75850113130	1142395	75781713131	1151277	75705213132	1159917	75612613133	1168632	75525013134	1177834	75468613135	1186264	75362713136	1195068	75280513137	1203909	75200713138	1212676	75116113139	1221829	75055214140	1230581	74969414141	1239393	74887314142	1248095	74798414143	1257229	74735314144	1265687	74631914145	1274561	74553114146	1283241	74462914147	1292080	74381914148	1300952	74302714149	1309602	74210815150	1318461	74130715151	1326951	74029915152	1336132	73967615153	1344854	73879615154	1353809	73804415155	1362841	73733215156	1371669	73650715157	1380601	73573815158	1389162	73477115159	1398055	73397816160	1406747	73308116161	1415502	73221616162	1424449	73145016163	1433219	73059216164	1442099	72978916165	1451066	72902916166	1460150	72832616167	1468924	72746716168	1478157	7268338
169	1486437	72573117170	1495322	72492517171	1504186	72410817172	1513036	72328317173	1522112	72256517174	1530976	7217458
175	1539861	7209353
176	1548511	72001417177	1557872	7194221
178	1566048	71828217179	1574869	71744018180	1583845	71666818181	1592427	71571718182	1601577	71502118183	1610501	71422218184	1619412	7134169
185	1627846	71240118186	1636777	71160418187	1645507	71071918188	1654214	70982418189	1663415	7091402
190	1672145	7082541
191	1681318	7075549
192	1690254	7067540
193	1699197	7059551
194	1707667	7049601
195	1716889	7042750
196	1725927	7035127
197	1734845	7027001
198	1743435	7017545
199	1752444	7009776
200	1761504	7002199
201	1770305	6993583
202	1779255	6985549
203	1787951	6976514
204	1796950	6968662
205	1805579	6959369
206	1814500	6951204
207	1823301	6942572
208	1832335	6934820
209	1841484	6927487
210	1850052	6917969
211	1859103	6910253
212	1867819	6901286
213	1876770	6893186
214	1885728	6885102
215	1894809	6877455
216	1903731	6869224
217	1912418	6860141
218	1921100	6851047
219	1929208	6839922
220	1938136	6831711
221	1946867	6822806
222	1955994	6815279
223	1964862	6806845
224	1973788	6798605
225	1982683	6790253
226	1991369	6781182
227	2000551	6773797
228	2008938	6763720
229	2017897	6755569
230	2026998	6747886
231	2035903	6739541
232	2044884	6731444
233	2053725	6722880
234	2062715	6714796
235	2071642	6706502
236	2080678	6698556
237	2089158	6688817
238	2098153	6680732
239	2107003	6672176
240	2115677	6663067
241	2124805	6655381
242	2133921	6647649
243	2142772	6639083
244	2151430	6629918
245	2160435	6621822
246	2169028	6612464
247	2178098	6604557
248	2187064	6596327
249	2195720	6587161
250	2204806	6579283
251	2213515	6570275
252	2222529	6562172
253	2231228	6553134
254	2240395	6545469
255	2249086	6536408
256	2257997	6527985
257	2266921	6519596
258	2274888	6508465
259	2283711	6499793
260	2292522	6491089
261	2301455	6482724
262	2309983	6473224
263	2318719	6464308
264	2327634	6455892
265	2336193	6446489
266	2345203	6438329
267	2353700	6428763
268	2362537	6420130
269	2370986	6410444
270	2380273	6403023
271	2388479	6392694
272	2397356	6384169
273	2406392	6376062
274	2415054	6366962
275	2423437	6357133
276	2431827	6347332
277	2441207	6340115
278	2449822	6330903
279	2458526	6321925
280	2467325	6313192
281	2476429	6305236
282	2485209	6296448
283	2493835	6287275
284	2502819	6279003
285	2511189	6269192
286	2520306	6261250
287	2529398	6253235
288	2538316	6244786
289	2547477	6236927
290	2556462	6228631
291	2565451	6220340
292	2574033	6211062
293	2582963	6202627
294	2591490	6193222
295	2600524	6185031
296	2609363	6176373
297	2618448	6168290
298	2627282	6159615
299	2635986	6150635
300	2644696	6141670
301	2653618	6133197
302	2662363	6124314
303	2670723	6114550
304	2679506	6105760
305	2688533	6097523
306	2697188	6088441
307	2706026	6079774
308	2714338	6069927
309	2723180	6061273
310	2731579	6051634
311	2740134	6042347
312	2749050	6033859
313	2757785	6024970
314	2766524	6016092
315	2775389	6007489
316	2784124	5998602
317	2792929	5989866
318	2802008	5981717
319	2809839	5970908
320	2818867	5962650
321	2827666	5953907
322	2836456	5945142
323	2845422	5936745
324	2854223	5928002
325	2862884	5918970
326	2871332	5909500
327	2880440	5901389
328	2889223	5892611
329	2898193	5884210
330	2907007	5875493
331	2915687	5866504
332	2923890	5856561
333	2931918	5846280
334	2940877	5837860
335	2949625	5829022
336	2958569	5820567
337	2967242	5811581
338	2976244	5803238
339	2985057	5794522
340	2993434	5784965
341	3002264	5776286
342	3010673	5766800
343	3019370	5757868
344	3028262	5749309
345	3037113	5740670
346	3046030	5732154
347	3054632	5723046
348	3063750	5714905
349	3071907	5704971
350	3080557	5695959
351	3089547	5687576
352	3098385	5678910
353	3107145	5670102
354	3115396	5660368
355	3124194	5651633
356	3132889	5642711
357	3141764	5634114
358	3150227	5624779
359	3158672	5615417
360	3167651	5607006
361	3176190	5597816
362	3184442	5588125
363	3193092	5579139
364	3201708	5570096
365	3210426	5561231
366	3219142	5552362
367	3228307	5544267
368	3237195	5535691
369	3246097	5527139
370	3254619	5517939
371	3263632	5509573
372	3272305	5500632
373	3281172	5492016
374	3290161	5483602
375	3299164	5475208
376	3308140	5466767
377	3317291	5458612
378	3325930	5449611
379	3334325	5440214
380	3343026	5431321
381	3351211	5421594
382	3359972	5412802
383	3369033	5404491
384	3377594	5395378
385	3386254	5386425
386	3394427	5376703
387	3402939	5367523
388	3411272	5358066
389	3420260	5349638
390	3429395	5341436
391	3437891	5332240
392	3446696	5323523
393	3455324	5314534
394	3464595	5306532
395	3472888	5297031
396	3481318	5287745
397	3490252	5279226
398	3498828	5270165
399	3507504	5261256
400	3516555	5252909
401	3524757	5243295
402	3533277	5234161
403	3542226	5225661
404	3550423	5216054
405	3559194	5207295
406	3568152	5198807
407	3577092	5190290
408	3586184	5181992
409	3594616	5172741
410	3603651	5164357
411	3612292	5155407
412	3621012	5146571
413	3629844	5137896
414	3638584	5129088
415	3647294	5120239
416	3656228	5111705
417	3665213	5103239
418	3673963	5094446
419	3682940	5085964
420	3691542	5076966
421	3700185	5068026
422	3708711	5058928
423	3717243	5049839
424	3725905	5040930
425	3733982	5031235
426	3742505	5022144
427	3751125	5013185
428	3759925	5004469
429	3768924	4996016
430	3777784	4987377
431	3786662	4978759
432	3794560	4968858
433	3803023	4959703
434	3811609	4950711
435	3820570	4942206
436	3829266	4933357
437	3838055	4924628
438	3846871	4915933
439	3855309	4906756
440	3864320	4898311
441	3872763	4889144
442	3881796	4880723
443	3890749	4872199
444	3899154	4862990
445	3907923	4854237
446	3916440	4845171
447	3925690	4837011
448	3934204	4827944
449	3942892	4819090
450	3951743	4810436
451	3960593	4801781
452	3969606	4793322
453	3978481	4784693
454	3987500	4776236
455	3995763	4766875
456	4004477	4758055
457	4013542	4749650
458	4022234	4740803
459	4031068	4732123
460	4039701	4723208
461	4048742	4714769
462	4057470	4705964
463	4066595	4697618
464	4074252	4687581
465	4082927	4678720
466	4091772	4670052
467	4100662	4661436
468	4109182	4652400
469	4117867	4643552
470	4126142	4634244
471	4134407	4624930
472	4143188	4616195
473	4151265	4606678
474	4159959	4597849
475	4168997	4589400
476	4177429	4580284
477	4186626	4572006
478	4195024	4562855
479	4203402	4553685
480	4212313	4545094
481	4220849	4536099
482	4229859	4527613
483	4238722	4518969
484	4247250	4509967
485	4255819	4501010
486	4264212	4491870
487	4273046	4483196
488	4281789	4474426
489	4289800	4464894
490	4298749	4456341
491	4307480	4447560
492	4315247	4437790
493	4323973	4429009
494	4332387	4419910
495	4340794	4410807
496	4349506	4402015
497	4358192	4393198
498	4367369	4384873
499	4375778	4375778
500	4384830	4367326
501	4393795	4358785
502	4402352	4349839
503	4410960	4340945
504	4419247	4331737
505	4428323	4323304
506	4436617	4314107
507	4445514	4305498
508	4454371	4296849
509	4462683	4287676
510	4471031	4278540
511	4479596	4269615
512	4488163	4260692
513	4496566	4251617
514	4504836	4242418
515	4513594	4233681
516	4522294	4224890
517	4531150	4216244
518	4539809	4207415
519	4548259	4198393
520	4556317	4189013
521	4565297	4180482
522	4574039	4171733
523	4582972	4163158
524	4591753	4154443
525	4600605	4145792
526	4609240	4136946
527	4617547	4127808
528	4626399	4119156
529	4634942	4110231
530	4643865	4101643
531	4652639	4092923
532	4661253	4084062
533	4670349	4075623
534	4678731	4066560
535	4687241	4057611
536	4695482	4048432
537	4704432	4039865
538	4713514	4031410
539	4722491	4022863
540	4731438	4014289
541	4740210	4005565
542	4749425	3997214
543	4757820	3988173
544	4766279	3979187
545	4775128	3970527
546	4783910	3961812
547	4792844	3953222
548	4801257	3944202
549	4809891	3935366
550	4818497	3926506
551	4826757	3917368
552	4835868	3908920
553	4844748	3900284
554	4853645	3891661
555	4862225	3882784
556	4870936	3874012
557	4879565	3865175
558	4888634	3856686
559	4896957	3847609
560	4905753	3838905
561	4914416	3830096
562	4922960	3821196
563	4931616	3812384
564	4939992	3803357
565	4948840	3794694
566	4957189	3785649
567	4965958	3776926
568	4974858	3768302
569	4983608	3759564
570	4992416	3750870
571	5000873	3741912
572	5010044	3733488
573	5018669	3724657
574	5027740	3716156
575	5036288	3707268
576	5044991	3698494
577	5053952	3689909
578	5061706	3680446
579	5070535	3671767
580	5078929	3662773
581	5087846	3654157
582	5096679	3645480
583	5105360	3636695
584	5113907	3627814
585	5122291	3618820
586	5131185	3610186
587	5139204	3600939
588	5148003	3592240
589	5156614	3583410
590	5165299	3574632
591	5174348	3566105
592	5183196	3557438
593	5192212	3548885
594	5200892	3540103
595	5209421	3531218
596	5217821	3522248
597	5226742	3513629
598	5235422	3504849
599	5244203	3496135
600	5252942	3487394
601	5261601	3478600
602	5269945	3469599
603	5278357	3460644
604	5287026	3451860
605	5295483	3442938
606	5304489	3434373
607	5313231	3425636
608	5321731	3416744
609	5328782	3406926
610	5337637	3398266
611	5346154	3389392
612	5354947	3380692
613	5361816	3370783
614	5370998	3362332
615	5377938	3352481
616	5386608	3343713
617	5395474	3335066
618	5403029	3325612
619	5411672	3316831
620	5420105	3307922
621	5428673	3299097
622	5437566	3290469
623	5446548	3281894
624	5455350	3273210
625	5463754	3264287
626	5472525	3255585
627	5480872	3246631
628	5489327	3237743
629	5498324	3229174
630	5507053	3220448
631	5515533	3211576
632	5524008	3202703
633	5532860	3194048
634	5540617	3184764
635	5549269	3175997
636	5557813	3167168
637	5566638	3158499
638	5575377	3149782
639	5584107	3141060
640	5592536	3132169
641	5600660	3123109
642	5609628	3114521
643	5618673	3105974
644	5627554	3097336
645	5636440	3088699
646	5644709	3079725
647	5653507	3071041
648	5661711	3062035
649	5669931	3053039
650	5678433	3044198
651	5687279	3035541
652	5695417	3026508
653	5704287	3017864
654	5712800	3009032
655	5721187	3000135
656	5729941	2991430
657	5738267	2982503
658	5747021	2973800
659	5755230	2964815
660	5763868	2956053
661	5772804	2947443
662	5781449	2938685
663	5790274	2930018
664	5799142	2921372
665	5807326	2912383
666	5816325	2903802
667	5825334	2895226
668	5834210	2886582
669	5842456	2877627
670	5851490	2869061
671	5860093	2860283
672	5867917	2851127
673	5876886	2842529
674	5885167	2833599
675	5894232	2825046
676	5902705	2816209
677	5911070	2807322
678	5919929	2798670
679	5928750	2790000
680	5937698	2781388
681	5946474	2772696
682	5954658	2763728
683	5963231	2754943
684	5972029	2746261
685	5980842	2737586
686	5989830	2728991
687	5998503	2720251
688	6007129	2711490
689	6015369	2702557
690	6023816	2693718
691	6031415	2684502
692	6040493	2675947
693	6048337	2666846
694	6057228	2658208
695	6065910	2649478
696	6074718	2640802
697	6082506	2631686
698	6090925	2622844
699	6099934	2614257
700	6108235	2605367
701	6117203	2596761
702	6125574	2587902
703	6133819	2578992
704	6142490	2570261
705	6151067	2561492
706	6157445	2551812
707	6165461	2542817
708	6174086	2534075
709	6180063	2524251
710	6188536	2515452
711	6197446	2506832
712	6205886	2498021
713	6214685	2489355
714	6223145	2480554
715	6232145	2471968
716	6241030	2463335
717	6249826	2454667
718	6258012	2445759
719	6266565	2436997
720	6275119	2428236
721	6283306	2419333
722	6292091	2410662
723	6301119	2402084
724	6309192	2393142
725	6317982	2384472
726	6326428	2375674
727	6335537	2367123
728	6343710	2358224
729	6352540	2349569
730	6360924	2340750
731	6369181	2331885
732	6378068	2323252
733	6386692	2314523
734	6395652	2305915
735	6404161	2297144
736	6412673	2288376
737	6421214	2279618
738	6429700	2270841
739	6438256	2262090
740	6447083	2253434
741	6456140	2244857
742	6464568	2236062
743	6473430	2227417
744	6481574	2218525
745	6489473	2209552
746	6497917	2200767
747	6506698	2192096
748	6515779	2183525
749	6523519	2174506
750	6532262	2165823
751	6541303	2157238
752	6550090	2148568
753	6558158	2139664
754	6566978	2131006
755	6573185	2121504
756	6582074	2112872
757	6590880	2104212
758	6599790	2095585
759	6608765	2086978
760	6617508	2078297
761	6625903	2069507
762	6635078	2060961
763	6643229	2052097
764	6651697	2043331
765	6660106	2034549
766	6668593	2025791
767	6677058	2017028
768	6685063	2008127
769	6693914	1999480
770	6702521	1990761
771	6711093	1982032
772	6719691	1973311
773	6727952	1964492
774	6736549	1955772
775	6744555	1946882
776	6752595	1938003
777	6761292	1929314
